This file shows errors that happen in  <HumanDetectionSSD.HumanDetection object at 0x7f813c1b34f0> Class
*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 625, 'Point_b_Y': 517, 'Confidence': 0.9968071, 'Label': 'Person 1: 99.68%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 625, 'Point_b_Y': 517, 'Confidence': 0.9968071, 'Label': 'Person 1: 99.68%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 625, 'Point_b_Y': 517, 'Confidence': 0.9968213, 'Label': 'Person 1: 99.68%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 23, 'Point_b_X': 625, 'Point_b_Y': 517, 'Confidence': 0.9968213, 'Label': 'Person 1: 99.68%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 22, 'Point_b_X': 624, 'Point_b_Y': 515, 'Confidence': 0.9969344, 'Label': 'Person 1: 99.69%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 22, 'Point_b_X': 624, 'Point_b_Y': 515, 'Confidence': 0.9969344, 'Label': 'Person 1: 99.69%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 286, 'Point_a_Y': 24, 'Point_b_X': 624, 'Point_b_Y': 514, 'Confidence': 0.9973111, 'Label': 'Person 1: 99.73%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 286, 'Point_a_Y': 24, 'Point_b_X': 624, 'Point_b_Y': 514, 'Confidence': 0.9973111, 'Label': 'Person 1: 99.73%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 514, 'Confidence': 0.99731195, 'Label': 'Person 1: 99.73%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 287, 'Point_a_Y': 23, 'Point_b_X': 623, 'Point_b_Y': 514, 'Confidence': 0.99731195, 'Label': 'Person 1: 99.73%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 285, 'Point_a_Y': 38, 'Point_b_X': 620, 'Point_b_Y': 528, 'Confidence': 0.9967457, 'Label': 'Person 1: 99.67%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 285, 'Point_a_Y': 38, 'Point_b_X': 620, 'Point_b_Y': 528, 'Confidence': 0.9967457, 'Label': 'Person 1: 99.67%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 276, 'Point_a_Y': 38, 'Point_b_X': 619, 'Point_b_Y': 525, 'Confidence': 0.9962339, 'Label': 'Person 1: 99.62%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 276, 'Point_a_Y': 38, 'Point_b_X': 619, 'Point_b_Y': 525, 'Confidence': 0.9962339, 'Label': 'Person 1: 99.62%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 35, 'Point_b_X': 619, 'Point_b_Y': 527, 'Confidence': 0.99561876, 'Label': 'Person 1: 99.56%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 289, 'Point_a_Y': 35, 'Point_b_X': 619, 'Point_b_Y': 527, 'Confidence': 0.99561876, 'Label': 'Person 1: 99.56%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 283, 'Point_a_Y': 37, 'Point_b_X': 619, 'Point_b_Y': 529, 'Confidence': 0.9850856, 'Label': 'Person 1: 98.51%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 283, 'Point_a_Y': 37, 'Point_b_X': 619, 'Point_b_Y': 529, 'Confidence': 0.9850856, 'Label': 'Person 1: 98.51%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 276, 'Point_a_Y': 34, 'Point_b_X': 631, 'Point_b_Y': 532, 'Confidence': 0.9689696, 'Label': 'Person 1: 96.90%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 276, 'Point_a_Y': 34, 'Point_b_X': 631, 'Point_b_Y': 532, 'Confidence': 0.9689696, 'Label': 'Person 1: 96.90%'}} ,*********** i is: 0
