FrameNumber,ROI
515,"[322, 33, 707, 532]"
516,"[322, 33, 707, 533]"
517,"[320, 33, 708, 533]"
518,"[320, 33, 709, 533]"
519,"[322, 33, 709, 533]"
520,"[325, 33, 707, 532]"
521,"[325, 33, 707, 532]"
522,"[326, 33, 706, 532]"
523,"[326, 33, 707, 532]"
524,"[326, 33, 707, 532]"
525,"[325, 33, 706, 532]"
526,"[325, 34, 705, 532]"
527,"[325, 33, 705, 532]"
528,"[325, 33, 705, 532]"
529,"[326, 34, 705, 532]"
530,"[327, 34, 705, 532]"
531,"[327, 34, 704, 531]"
532,"[328, 34, 705, 531]"
533,"[327, 33, 705, 531]"
534,"[327, 33, 704, 531]"
535,"[327, 33, 705, 531]"
536,"[328, 33, 705, 531]"
537,"[328, 32, 703, 531]"
538,"[328, 32, 704, 531]"
539,"[327, 32, 704, 531]"
540,"[327, 32, 703, 531]"
541,"[327, 33, 703, 531]"
542,"[326, 33, 703, 531]"
543,"[326, 32, 703, 531]"
544,"[327, 32, 703, 531]"
545,"[326, 32, 703, 531]"
546,"[324, 33, 703, 531]"
547,"[324, 33, 702, 531]"
548,"[324, 33, 701, 532]"
549,"[324, 33, 701, 532]"
550,"[324, 33, 702, 531]"
551,"[325, 33, 702, 532]"
552,"[325, 33, 701, 532]"
553,"[325, 33, 702, 532]"
554,"[325, 34, 702, 532]"
555,"[325, 33, 702, 532]"
556,"[325, 33, 702, 532]"
557,"[325, 33, 703, 532]"
558,"[326, 33, 703, 532]"
559,"[326, 33, 703, 532]"
560,"[326, 33, 703, 531]"
561,"[327, 32, 704, 531]"
562,"[327, 32, 704, 531]"
563,"[327, 33, 704, 531]"
564,"[328, 33, 703, 531]"
565,"[328, 33, 703, 531]"
566,"[326, 33, 703, 531]"
567,"[326, 33, 703, 531]"
568,"[326, 32, 703, 532]"
569,"[324, 32, 703, 532]"
570,"[324, 33, 702, 532]"
571,"[325, 32, 701, 532]"
572,"[325, 32, 701, 532]"
573,"[326, 32, 701, 532]"
574,"[326, 32, 700, 532]"
575,"[326, 33, 701, 532]"
576,"[325, 32, 701, 531]"
577,"[325, 32, 701, 531]"
578,"[325, 32, 702, 531]"
579,"[325, 33, 702, 531]"
580,"[325, 33, 702, 531]"
581,"[325, 33, 703, 531]"
582,"[327, 34, 703, 531]"
583,"[327, 34, 703, 531]"
584,"[328, 33, 703, 531]"
585,"[327, 33, 704, 531]"
586,"[326, 34, 704, 531]"
587,"[325, 34, 704, 531]"
588,"[325, 34, 704, 531]"
589,"[325, 34, 704, 531]"
590,"[326, 34, 705, 531]"
591,"[327, 34, 705, 531]"
592,"[327, 34, 705, 531]"
593,"[325, 34, 706, 531]"
594,"[325, 34, 706, 531]"
595,"[324, 34, 704, 530]"
596,"[324, 33, 704, 530]"
597,"[325, 33, 703, 531]"
598,"[325, 33, 704, 531]"
599,"[325, 33, 704, 531]"
600,"[325, 33, 705, 531]"
601,"[325, 33, 705, 531]"
602,"[325, 33, 705, 531]"
603,"[325, 33, 705, 531]"
604,"[325, 34, 706, 531]"
605,"[325, 34, 707, 531]"
606,"[326, 34, 707, 531]"
607,"[326, 34, 707, 531]"
608,"[326, 34, 706, 531]"
609,"[326, 34, 706, 531]"
610,"[326, 34, 704, 531]"
611,"[327, 34, 705, 531]"
612,"[327, 34, 705, 531]"
613,"[327, 34, 704, 531]"
614,"[327, 34, 704, 531]"
615,"[327, 34, 703, 531]"
616,"[327, 34, 703, 531]"
617,"[327, 34, 702, 531]"
618,"[327, 34, 702, 531]"
619,"[326, 34, 703, 531]"
620,"[326, 35, 703, 531]"
621,"[326, 35, 702, 531]"
622,"[326, 34, 702, 531]"
623,"[325, 34, 702, 532]"
624,"[325, 34, 703, 532]"
625,"[326, 34, 703, 531]"
626,"[326, 34, 703, 531]"
627,"[326, 34, 703, 530]"
628,"[326, 34, 702, 531]"
629,"[326, 34, 702, 531]"
630,"[326, 34, 703, 531]"
631,"[326, 33, 703, 531]"
632,"[327, 33, 702, 531]"
633,"[326, 33, 702, 531]"
634,"[325, 33, 701, 531]"
